	securityName	securityClass	putCall	cusipSedol	isin	manualIdentifier	ticker	formType	name	lei	currencyCode	payoffProfile	issuerClass	fairValueLevel	couponKind	countryCode	units	fileDate	effectiveDate	superceded	principal	shares	percent	value	sharesChange	percentChange	prevShares	prevValue	percentValueChange	percentOwnershipChange	sharePrice	costBasis	profit	performance	sharesMultiplier	valueMultiplier	allocation	prevAllocation	allocationPercentChange	allocationChange	current	unrealized	realized	pageDataId	lineNbr	default	option	formTypeShort	formattedFileDate	valueChange	bestIdentifier	restricted	safeAllocationChange	latestUnrealized	slug	url	ownershipPercent	ownershipPercentChange	sharesPercentChange	valuePercentChange	symbol
509	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	DecisionPoint Financial, LLC									2025-01-29	2024-12-31	False		220.0		18505	0.0	0.0	220.0	22.0	-18.18		90.6727	19.94799				0.001	0.005654292878945049	0.007211136228050374	-21.58943195455674	-0.001556843349105325		-1.432794					False	13F	01-29	-4000	595112103		-0.001556843349105325	1.37881	decisionpoint-financial-llc	https://fintel.io/i/decisionpoint-financial-llc	1.968554093215645e-05	0.0	0.0	-18.18	MU
510	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	MidWestOne Financial Group, Inc.									2025-02-18	2024-12-31	False		52688.0		4434223	619.0	1.1888071597303578	52069.0	5400.0	-17.89		67.3498	3548.526				0.001	0.5247994199196356	0.7452753091398153	-29.583146860808977	-0.2204758892201797		885.6959					False	13F	02-18	-966000	595112103		-0.2204758892201797	1559.049	midwestone-financial-group	https://fintel.io/i/midwestone-financial-group	0.004714508093788449	1.1888071597303578	1.1888071597303578	-17.89	MU
511	Micron Technology, Inc.	EC		595112103	US5951121038			NPORT-P	TRANSAMERICA SERIES TRUST - Transamerica Levin Large Cap Value VP Service	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-02-26	2024-12-31	False		11544.0		971543	143.0	1.2542759407069555	11401.0	1182.0	-17.85		67.41133	778.1964			1.0	0.001	1.405723418979	1.693558983769	-16.995898433335018	-0.28783556479		193.3466					False	NP	02-26	-211000	US5951121038		-0.28783556479	340.879	transamerica-series-trust-transamerica-levin-large-cap-value-vp-service	https://fintel.io/i/transamerica-series-trust-transamerica-levin-large-cap-value-vp-service	0.001032954020549155	1.2542759407069555	1.2542759407069555	-17.85	MU
512	MICRON TECHNOLOGY INC 0.00000000	EC		595112103	US5951121038			NPORT-P	MUTUAL OF AMERICA INVESTMENT CORP - Catholic Values Index Fund Class	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-02-25	2024-12-31	False		167.0		14054	2.0	1.2121212121212122	165.0	17.0	-17.65		65.11974	10.875			1.0	0.001	0.186063698798	0.238032948014	-21.832796530732125	-0.051969249216		3.179723					False	NP	02-25	-3000	US5951121038		-0.051969249216	5.31398	mutual-of-america-investment-corp-catholic-values-index-fund-class	https://fintel.io/i/mutual-of-america-investment-corp-catholic-values-index-fund-class	1.494311516213694e-05	1.2121212121212122	1.2121212121212122	-17.65	MU
513	Micron Technology, Inc.	EC		595112103	US5951121038			NPORT-P	CVSE - Morgan Stanley ETF Trust - Calvert US Select Equity ETF	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-02-26	2024-12-31	False		1126.0		94764	74.0	7.034220532319392	1052.0	109.0	-13.76		61.64112	69.4079			1.0	0.001	0.30399532401	0.371123786549	-18.08789007118436	-0.067128462539		25.35626					False	NP	02-26	-15000	US5951121038		-0.067128462539	39.74654	morgan-stanley-etf-trust-calvert-us-select-equity-etf	https://fintel.io/i/morgan-stanley-etf-trust-calvert-us-select-equity-etf	0.0001007541776800371	7.034220532319392	7.034220532319392	-13.76	MU
514	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Chicago Capital, LLC									2024-10-18	2024-09-30	False		0.0		0	-17583.0	-100.0	17583.0	2312.0	-100.0			-2312.0	0.0			0.001		0.06875557067687188	-100.0	-0.06875557067687188							False	13F	10-18	-2312000	595112103		-0.06875557067687188		chicago-capital	https://fintel.io/i/chicago-capital	0.0	-100.0	-100.0	-100.0	MU
515	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Envestnet Asset Management Inc									2025-02-13	2024-12-31	False		679896.0		57220042	-93878.0	-12.132483128148529	773774.0	80248.0	-28.7		53.23655	36195.31				0.001	0.01836717532889627	0.025901909168996026	-29.08949217194636	-0.007534733840099756		21024.73					False	13F	02-13	-23028000	595112103		-0.007534733840099756	29713.81	envestnet-asset-management	https://fintel.io/i/envestnet-asset-management	0.06083691153458836	-12.132483128148529	-12.132483128148529	-28.7	MU
516	Micron Technology Inc	EC		595112103	US5951121038		MU	NPORT-P	NTSX - WisdomTree Trust - WisdomTree 90/60 U.S. Balanced Fund N/A	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-02-27	2024-12-31	False		22404.0		1885520	-1537.0	-6.4199490413934255	23941.0	2482.0	-24.05		62.16845	1392.822			1.0	0.001	0.15928081666	0.211786564796	-24.791821986713522	-0.052505748136		492.6987					False	NP	02-27	-597000	US5951121038		-0.052505748136	779.0218	wisdomtree-trust-wisdomtree-90-60-u-s-balanced-fund-n-a	https://fintel.io/i/wisdomtree-trust-wisdomtree-90-60-u-s-balanced-fund-n-a	0.002004703904745605	-6.4199490413934255	-6.4199490413934255	-24.05	MU
517	MICRON TECHNOLOGY INC	COM	Call	595112103				13F-HR	Squarepoint Ops LLC									2025-02-14	2024-12-31	False		2075400.0		174665664	839000.0	67.85829828534455	1236400.0	128227.0	36.22		90.98886	188838.3				0.001	0.1722797035723806	0.20053627063388263	-14.090501918772496	-0.02825656706150203		-14172.62					call	13F	02-14	46438000	595112103		-0.02825656706150203	12350.98	squarepoint-ops-llc	https://fintel.io/i/squarepoint-ops-llc	0.1857062347754431	67.85829828534455	67.85829828534455	36.22	MU
518	MICRON TECHNOLOGY INC	EC		595112103	US5951121038			NPORT-P	FUMIX - FIDELITY SALEM STREET TRUST - Fidelity SAI U.S. Momentum Index Fund	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2024-09-25	2024-07-31	False		48004.0		5271799	35560.0	285.76020572163293	12444.0	1405.0	275.16		106.5755	5116.052			1.0	0.001	0.816545460118	0.229684077989	255.50808191288988	0.586861382129		155.7477					False	NP	09-25	3866000	US5951121038		0.586861382129	-462.5442	fidelity-salem-street-trust-fidelity-sai-u-s-momentum-index-fund	https://fintel.io/i/fidelity-salem-street-trust-fidelity-sai-u-s-momentum-index-fund	0.004295385031396536	285.76020572163293	285.76020572163293	275.16	MU
519	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Schnieders Capital Management Llc									2025-02-05	2024-12-31	False		16642.0		1400591	9675.0	138.8689536385819	6967.0	722.0	93.91		96.9606	1613.618				0.001	0.27763639493909237	0.13769612817216065	101.62977610522589	0.13994026676693172		-213.0275					False	13F	02-05	678000	595112103		0.13994026676693172	-0.34252	schnieders-capital-management-llc	https://fintel.io/i/schnieders-capital-management-llc	0.001489121691786125	138.8689536385819	138.8689536385819	93.91	MU
520	MICRON TECHNOLOGY INC	COM	Put	595112103				13F-HR	Squarepoint Ops LLC									2025-02-14	2024-12-31	False		2630400.0		221374464	1136200.0	76.04069067059297	1494200.0	154963.0	42.86		94.74457	249216.1				0.001	0.21835045402177408	0.2423498023140953	-9.902771969756792	-0.02399934829232122		-27841.66					put	13F	02-14	66411000	595112103		-0.02399934829232122	5774.876	squarepoint-ops-llc	https://fintel.io/i/squarepoint-ops-llc	0.2353674857633832	76.04069067059297	76.04069067059297	42.86	MU
521	MICRON TECHNOLOGY INC	COM	Call	595112103				13F-HR	UBS Group AG									2025-02-14	2024-12-31	False		2676458.0		225250705	693639.0	34.982466881747655	1982819.0	205638.0	9.54		73.03329	195470.5				0.001	0.04162899502179711	0.04480004775919933	-7.078235171637899	-0.00317105273740222		29780.17					call	13F	02-14	19612000	595112103		-0.00317105273740222	63985.34	ubs	https://fintel.io/i/ubs	0.2394887432372617	34.982466881747655	34.982466881747655	9.54	MU
522	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Squarepoint Ops LLC									2025-02-14	2024-12-31	False		736078.0		61948324	424271.0	136.0684654289352	311807.0	32337.0	91.57		82.55808	60769.19				0.001	0.06110210015590581	0.05057312600739874	20.819306575920788	0.01052897414850707		1179.138					False	13F	02-14	29611000	595112103		0.01052897414850707	10586.21	squarepoint-ops-llc	https://fintel.io/i/squarepoint-ops-llc	0.06586406181027205	136.0684654289352	136.0684654289352	91.57	MU
523	MICRON TECHNOLOGY INC	COM	Put	595112103				13F-HR	UBS Group AG									2025-02-14	2024-12-31	False		2276398.0		191581656	-669078.0	-22.715445652926725	2945476.0	305475.0	-37.28		48.74666	110966.8				0.001	0.03540655645846545	0.06655043440943732	-46.79740745096541	-0.03114387795097187		80614.86					put	13F	02-14	-113894000	595112103		-0.03114387795097187	109707.2	ubs	https://fintel.io/i/ubs	0.2036914818494503	-22.715445652926725	-22.715445652926725	-37.28	MU
524	Micron Technology Inc	EC		595112103	US5951121038		MU	NPORT-P	NEIAX - COLUMBIA FUNDS SERIES TRUST - Columbia Large Cap Index Fund Class A	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-01-24	2024-11-30	False		79357.0		7773018	-3921.0	-4.708326328682245	83278.0	8014.0	-3.01		46.88391	3720.566			1.0	0.001	0.2093164532	0.2211713083	-5.360032994840319	-0.0118548551		4052.452					False	NP	01-24	-241000	US5951121038		-0.0118548551	3972.302	columbia-funds-series-trust-columbia-large-cap-index-fund-class-a	https://fintel.io/i/columbia-funds-series-trust-columbia-large-cap-index-fund-class-a	0.007100843053423359	-4.708326328682245	-4.708326328682245	-3.01	MU
525	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	UBS Group AG									2025-02-14	2024-12-31	False		11155751.0		938868003	4000580.0	55.911731529546955	7155171.0	742062.0	26.52		82.4721	920038.2				0.001	0.17351391385439435	0.1616647828732468	7.329444774894402	0.01184913098114755		18829.83					False	13F	02-14	196806000	595112103		0.01184913098114755	161400.3	ubs	https://fintel.io/i/ubs	0.9982136042702054	55.911731529546955	55.911731529546955	26.52	MU
526	MICRON TECHNOLOGY	Stock		595112103				13F-HR	Nelson, Van Denburg & Campbell Wealth Management Group, LLC									2025-01-17	2024-12-31	False		32904.0		2769258	2141.0	6.959659331014531	30763.0	3190.0	-13.2		78.17312	2572.208				0.001	0.10131899168432755	0.1270580425114887	-20.25771082128374	-0.02573905082716115		196.9922					False	13F	01-17	-421000	595112103		-0.02573905082716115	617.5058	nelson-van-denburg-campbell-wealth-management-group-llc	https://fintel.io/i/nelson-van-denburg-campbell-wealth-management-group-llc	0.002944241085598526	6.959659331014531	6.959659331014531	-13.2	MU
527	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Atria Investments Llc									2025-02-06	2024-12-31	False		21050.0		1771573	-927.0	-4.21804613914547	21977.0	2279.0	-22.29		58.59823	1233.493				0.001	0.02204659384365625	0.028310362222162534	-22.125355830321187	-0.006263768378506284		538.0753					False	13F	02-06	-508000	595112103		-0.006263768378506284	807.094	atria-investments-llc	https://fintel.io/i/atria-investments-llc	0.001883548348281333	-4.21804613914547	-4.21804613914547	-22.29	MU
528	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Monaco Asset Management SAM									2024-11-07	2024-09-30	False		0.0		0	-51000.0	-100.0	51000.0	6708.0	-100.0			-6708.0	0.0			0.001		1.0693646563145276	-100.0	-1.0693646563145276							False	13F	11-07	-6708000	595112103		-1.0693646563145276		monaco-asset-management-sam	https://fintel.io/i/monaco-asset-management-sam	0.0	-100.0	-100.0	-100.0	MU
529	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Catalyst Financial Partners Llc									2025-01-30	2024-12-31	False		5328.0		448404	334.0	6.688025630756909	4994.0	517.0	-13.35		73.22098	390.1214				0.001	0.08429577245038218	0.10131288453388969	-16.796592222004296	-0.01701711208350751		58.28309					False	13F	01-30	-69000	595112103		-0.01701711208350751	126.3749	catalyst-financial-partners-llc	https://fintel.io/i/catalyst-financial-partners-llc	0.0004767480094842252	6.688025630756909	6.688025630756909	-13.35	MU
530	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Dantai Capital Ltd									2024-12-04	2024-09-30	False		22945.0		2379626	4590.0	25.006810133478616	18355.0	2414.0	-1.45		80.34636	1843.547				0.001	3.0215133693077756	2.7161383812974815	11.242983425035158	0.3053749880102941		536.0786					False	13F	12-04	-35000	595112103		0.3053749880102941	380.7413	dantai-capital-ltd	https://fintel.io/i/dantai-capital-ltd	0.002053112439492407	25.006810133478616	25.006810133478616	-1.45	MU
531	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Edgestream Partners, L.P.									2025-02-07	2024-12-31	False		4690.0		394710	-818.0	-14.851125635439361	5508.0	571.0	-31.0		126.0168	591.0189				0.001	0.016813602663328146	0.025120248421853654	-33.06753030077141	-0.008306645758525508		-196.3085					False	13F	02-07	-177000	595112103		-0.008306645758525508	-136.3703	edgestream-partners	https://fintel.io/i/edgestream-partners	0.0004196599407809715	-14.851125635439361	-14.851125635439361	-31.0	MU
532	MICRON TECHNOLOGY INC	COM	Put	595112103				13F-HR	Millennium Management Llc									2025-02-14	2024-12-31	False		907200.0		76349952	-179000.0	-16.4794697109188	1086200.0	112649.0	-32.22		38.36478	34804.53				0.001	0.037309673249431734	0.05341917644160976	-30.156779391360782	-0.016109503192178028		41545.42					put	13F	02-14	-36300000	595112103		-0.016109503192178028	53139.44	millennium-management-llc	https://fintel.io/i/millennium-management-llc	0.0811760124256924	-16.4794697109188	-16.4794697109188	-32.22	MU
533	MICRON TECHNOLOGY INC	COM	Call	595112103				13F-HR	Millennium Management Llc									2025-02-14	2024-12-31	False		483900.0		40725024	-142500.0	-22.74904214559387	626400.0	64963.0	-37.31		51.67526	25005.66				0.001	0.01990095997067903	0.030806271518159047	-35.39964757192956	-0.010905311547480017		15719.37					call	13F	02-14	-24238000	595112103		-0.010905311547480017	21903.61	millennium-management-llc	https://fintel.io/i/millennium-management-llc	0.0432992420775932	-22.74904214559387	-22.74904214559387	-37.31	MU
534	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Millennium Management Llc									2025-02-14	2024-12-31	False		179755.0		15128181	-2079469.0	-92.04350697407605	2259224.0	234304.0	-93.54		36.15052	6498.238				0.001	0.007392637129205549	0.11110834602883086	-93.34646100547003	-0.10371570889962531		8629.943					False	13F	02-14	-219176000	595112103		-0.10371570889962531	10927.21	millennium-management-llc	https://fintel.io/i/millennium-management-llc	0.01608442913754446	-92.04350697407605	-92.04350697407605	-93.54	MU
535	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Csenge Advisory Group									2025-01-30	2024-12-31	False		5500.0		462854	1983.0	56.383281205572935	3517.0	376.0	22.87		102.0685	561.3766				0.001	0.025127004823556065	0.01960717048916153	28.152120865403774	0.005519834334394535		-98.49659					False	13F	01-30	86000	595112103		0.005519834334394535	-28.2066	csenge-advisory-group	https://fintel.io/i/csenge-advisory-group	0.0004921385233039111	56.383281205572935	56.383281205572935	22.87	MU
536	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Third Point LLC									2024-11-14	2024-09-30	False		0.0		0	-275000.0	-100.0	275000.0	36139.0	-100.0			-36139.0	0.0			0.001		0.4136143304962595	-100.0	-0.4136143304962595							False	13F	11-14	-36139000	595112103		-0.4136143304962595		third-point-llc	https://fintel.io/i/third-point-llc	0.0	-100.0	-100.0	-100.0	MU
537	MICRON TECHNOLOGY INC	COM	Put	595112103				13F-HR	Jane Street Group, Llc									2025-02-14	2024-12-31	False		9050900.0		761723744	156500.0	1.7595340888649038	8894400.0	922438.0	-17.42		84.93546	768742.4				0.001	0.1654504350674604	0.20347594528725918	-18.687963418042308	-0.03802551021979878		-7018.619					put	13F	02-14	-160715000	595112103		-0.03802551021979878	108651.8	jane-street-group-llc	https://fintel.io/i/jane-street-group-llc	0.809872101922067	1.7595340888649038	1.7595340888649038	-17.42	MU
538	Micron Technology Inc	EC		595112103	US5951121038			NPORT-P	LINCOLN VARIABLE INSURANCE PRODUCTS TRUST - LVIP Invesco Select Equity Income Managed Volatility Fund Service Class	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-02-06	2024-12-31	False		13093.0		1101906	-2340.0	-15.162314520831984	15433.0	1600.0	-31.19		53.88142	705.4695			1.0	0.001	0.267055171577	0.366634278857	-27.160337432288838	-0.09957910728		396.4374					False	NP	02-06	-499000	US5951121038		-0.09957910728	563.7659	lincoln-variable-insurance-products-trust-lvip-invesco-select-equity-income-managed-volatility-fund-service-class	https://fintel.io/i/lincoln-variable-insurance-products-trust-lvip-invesco-select-equity-income-managed-volatility-fund-service-class	0.001171558124657838	-15.162314520831984	-15.162314520831984	-31.19	MU
539	MICRON TECHNOLOGY INC	COM	Call	595112103				13F-HR	Wolverine Trading, Llc									2025-02-14	2024-12-31	False		1305200.0		111346612	-239500.0	-15.504628730497831	1544700.0	166055.0	-32.95		47.58055	62102.14				0.001	0.10461803975147664	0.17518686889603433	-40.28203117577104	-0.07056882914455768		47743.49					call	13F	02-14	-54709000	595112103		-0.07056882914455768	64423.95	wolverine-trading	https://fintel.io/i/wolverine-trading	0.1167889455665936	-15.504628730497831	-15.504628730497831	-32.95	MU
540	MICRON TECHNOLOGY INC	COM	Put	595112103				13F-HR	Wolverine Trading, Llc									2025-02-14	2024-12-31	False		1088400.0		92851404	-60700.0	-5.282394917761726	1149100.0	123528.0	-24.83		50.09503	54523.43				0.001	0.08724047997663742	0.13032124752277663	-33.057362759368814	-0.04308076754613921		37076.31					put	13F	02-14	-30677000	595112103		-0.04308076754613921	50986.07	wolverine-trading	https://fintel.io/i/wolverine-trading	0.09738973977526852	-5.282394917761726	-5.282394917761726	-24.83	MU
541	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Wolverine Trading, Llc									2025-02-14	2024-12-31	False		185800.0		15850598	136622.0	277.8112163975762	49178.0	5286.0	199.85		93.46511	17365.82				0.001	0.014892761098547624	0.005577354721673578	167.02194573844145	0.009315406376874046		-1728.89					False	13F	02-14	10564000	595112103		0.009315406376874046	645.632	wolverine-trading	https://fintel.io/i/wolverine-trading	0.01662533411452122	277.8112163975762	277.8112163975762	199.85	MU
542	MICRON TECHNOLOGY INC COMMON STOCK	EC		595112103	US5951121038			NPORT-P	AIQ - Global X Funds - Global X Future Analytics Tech ETF	B3DXGBC8GAIYWI2Z0172	USD	Long		1		US	NS	2025-01-28	2024-11-30	False		418889.0		41030177	24570.0	6.230995716665948	394319.0	37949.0	8.12		95.70312	40088.98			1.0	0.001	1.653743801188	1.780951100797	-7.142660994570436	-0.127207299609		941.1935					False	NP	01-28	3081000	US5951121038		-0.127207299609	518.1197	global-x-funds-global-x-future-analytics-tech-etf	https://fintel.io/i/global-x-funds-global-x-future-analytics-tech-etf	0.03748207525240946	6.230995716665948	6.230995716665948	8.12	MU
543	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Abundance Wealth Counselors									2025-01-24	2024-12-31	False		0.0		0	-2019.0	-100.0	2019.0	0.0				0.0	0.0			0.001	0.0	0.04326459300231435	-100.00000000000001	-0.04326459300231435							False	13F	01-24	0	595112103		-0.04326459300231435		abundance-wealth-counselors	https://fintel.io/i/abundance-wealth-counselors	0.0	-100.0	-100.0		MU
544	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Simon Quick Advisors, Llc									2025-01-17	2024-12-31	False		4294.0		361394	253.0	6.260826528087107	4041.0	419.0	-13.84		98.9736	424.9926				0.001	0.021646481710106594	0.02648015184971322	-18.25393663540859	-0.004833670139606626		-63.6096					False	13F	01-17	-58000	595112103		-0.004833670139606626	-8.73224	massey-quick-co-	https://fintel.io/i/massey-quick-co-	0.0003842259671030899	6.260826528087107	6.260826528087107	-13.84	MU
545	Micron Technology, Inc.	EC		595112103	US5951121038			NPORT-P	MAINSTAY VP FUNDS TRUST - MainStay VP MacKay S&P 500 Index Portfolio Initial Class	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-02-24	2024-12-31	False		104443.0		8789922	734.0	0.7077495685041799	103709.0	10755.0	-18.28		47.01211	4910.086			1.0	0.001	0.185118413467	0.233434871132	-20.69804628190215	-0.048316457665		3879.837					False	NP	02-24	-1966000	US5951121038		-0.048316457665	5214.618	mainstay-vp-funds-trust-mainstay-vp-mackay-s-p-500-index-portfolio-initial-class	https://fintel.io/i/mainstay-vp-funds-trust-mainstay-vp-mackay-s-p-500-index-portfolio-initial-class	0.009345531598078253	0.7077495685041799	0.7077495685041799	-18.28	MU
546	Micron Technology, Inc.	EC		595112103	US5951121038			NPORT-P	BTAL - AGF Investments Trust - AGFiQ U.S. Market Neutral Anti-Beta Fund	B3DXGBC8GAIYWI2Z0172	USD	Short	CORP	1		US	NS	2025-02-25	2024-12-31	False		-13464.0		-1133130	4510.0	-25.091799265605875	-17974.0	-1864.0	-39.22		80.5334	740.263			1.0	0.001	-0.3266067032	-0.45326543536	-27.943611464528065	0.12665873216		-1873.393					False	NP	02-25	731000	US5951121038		0.12665873216	-2045.463	agf-investments-trust-agfiq-u-s-market-neutral-anti-beta-fund	https://fintel.io/i/agf-investments-trust-agfiq-u-s-market-neutral-anti-beta-fund	-0.001204755105047974	-25.091799265605875	-25.091799265605875	-39.22	MU
547	Micron Technology, Inc.	EC		595112103	US5951121038			NPORT-P	ESGG - FlexShares Trust - FlexShares STOXX Global ESG Impact Index Fund	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2024-12-23	2024-10-31	False		7887.0		785939	-1563.0	-16.53968253968254	9450.0	1037.0	-24.3		54.01586	426.0231			1.0	0.001	0.56979785898	0.594902828615	-4.220011811583942	-0.025104969635		359.9164					False	NP	12-23	-252000	US5951121038		-0.025104969635	338.5427	flexshares-trust-flexshares-stoxx-global-esg-impact-index-fund	https://fintel.io/i/flexshares-trust-flexshares-stoxx-global-esg-impact-index-fund	0.0007057266424178086	-16.53968253968254	-16.53968253968254	-24.3	MU
548	Micron Technology, Inc	Com		595112103				13F-HR	Old Second National Bank Of Aurora									2025-01-23	2024-12-31	False		415.0		34926	15.0	3.75	400.0	41.0	-17.07		69.45814	28.82513				0.001	0.007940519935541967	0.010014659995425036	-20.711038226266215	-0.002074140059883069		6.101272					False	13F	01-23	-7000	595112103		-0.002074140059883069	11.40497	old-second-national-bank-of-aurora	https://fintel.io/i/old-second-national-bank-of-aurora	3.713408857656784e-05	3.75	3.75	-17.07	MU
549	MICRON TECHNOLOGY INC COMMON STOCK	EC		595112103	US5951121038			NPORT-P	SVOAX - Sei Institutional Managed Trust - Simt Us Managed Volatility Fund Class F	B3DXGBC8GAIYWI2Z0172	USD	Long		1		US	NS	2025-03-03	2024-12-31	False		404.0		34000	404.0						101.7502	41.10709			1.0	0.001	0.005838811478			0.005838811478		-7.106453					False	NP	03-03	34000	US5951121038		0.005838811478	-1.94333	sei-institutional-managed-trust-simt-us-managed-volatility-fund-class-f	https://fintel.io/i/sei-institutional-managed-trust-simt-us-managed-volatility-fund-class-f	3.614981152996002e-05				MU
550	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Miracle Mile Advisors, LLC									2025-01-13	2024-12-31	False		3002.0		252634	3002.0		0.0	0.0			101.7502	305.4542				0.001	0.005120427076201254			0.005120427076201254		-52.80587					False	13F	01-13	252000	595112103		0.005120427076201254	-14.44032	miracle-mile-advisors-llc	https://fintel.io/i/miracle-mile-advisors-llc	0.0002686181539924257				MU
551	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Prosperity Wealth Management, Inc.									2024-11-14	2024-09-30	False		0.0		0	-3275.0	-100.0	3275.0	430.0	-100.0			-430.0	0.0			0.001		0.21157705752046588	-100.0	-0.21157705752046588							False	13F	11-14	-430000	595112103		-0.21157705752046588		prosperity-wealth-management-inc	https://fintel.io/i/prosperity-wealth-management-inc	0.0	-100.0	-100.0	-100.0	MU
552	Micron Technology Inc	EC		595112103	US5951121038		MU	NPORT-P	Gabelli Equity Trust Inc	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-03-03	2024-12-31	False		4000.0		336640	0.0	0.0	4000.0	414.0	-18.84		82.27434	329.0974			1.0	0.001	0.020907965284	0.024605748583	-15.028127620367462	-0.003697783299		7.542626					False	NP	03-03	-78000	US5951121038		-0.003697783299	58.6626	gabelli-equity-trust	https://fintel.io/i/gabelli-equity-trust	0.0003579189260392081	0.0	0.0	-18.84	MU
553	MICRON TECHNOLOGY INC COMMON STOCK USD.1	EC		595112103	US5951121038		MU US	NPORT-P	SVBAX - JOHN HANCOCK INVESTMENT TRUST - Balanced Fund Class A	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2024-12-27	2024-10-31	False		662505.0		66018623	243519.0	58.12103507038422	418986.0	46013.0	43.48		68.37889	45301.36			1.0	0.001	1.2122741486	0.8530477584	42.11093536823482	0.3592263902		20717.27					False	NP	12-27	20005000	US5951121038		0.3592263902	18921.87	john-hancock-investment-trust-balanced-fund-class-a	https://fintel.io/i/john-hancock-investment-trust-balanced-fund-class-a	0.05928076952390139	58.12103507038422	58.12103507038422	43.48	MU
554	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Veriti Management LLC									2025-01-23	2024-12-31	False		0.0		0	-33024.0	-100.0	33024.0	3424882.0								0.001											False	13F	01-23	-3424882000	595112103		0.0		veriti-management-llc	https://fintel.io/i/veriti-management-llc	0.0	-100.0	-100.0		MU
555	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	RW Investment Management LLC									2025-02-03	2024-12-31	False		16348.0		1375853	-220.0	-1.3278609367455336	16568.0	1718.0	-19.97		54.65203	893.4514				0.001	0.1288789303832532	0.21376988070757771	-39.71137095803005	-0.0848909503243245		482.3963					False	13F	02-03	-343000	595112103		-0.0848909503243245	691.3237	rw-investment-management-llc	https://fintel.io/i/rw-investment-management-llc	0.001462814650722243	-1.3278609367455336	-1.3278609367455336	-19.97	MU
556	MICRON TECHNOLOGY INC	COM	Call	595112103				13F-HR	RW Investment Management LLC									2025-02-03	2024-12-31	False		500.0		42080	-500.0	-50.0	1000.0	103.0	-59.22		126.0168	63.00841				0.001	0.003941718621485939	0.012902533141231274	-69.45004071417726	-0.008960814519745335		-20.92841					call	13F	02-03	-61000	595112103		-0.008960814519745335	-14.53841	rw-investment-management-llc	https://fintel.io/i/rw-investment-management-llc	4.473986575490101e-05	-50.0	-50.0	-59.22	MU
557	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Journey Strategic Wealth Llc									2025-01-24	2024-12-31	False		2767.0		232809	-134.0	-4.619096863150638	2901.0	300.0	-22.67		92.37745	255.6084				0.001	0.0022290261547161204	0.011017750735626566	-79.76877306265035	-0.008788724580910446		-22.73769					False	13F	01-24	-68000	595112103		-0.008788724580910446	12.62458	journey-strategic-wealth-llc	https://fintel.io/i/journey-strategic-wealth-llc	0.0002475904170876222	-4.619096863150638	-4.619096863150638	-22.67	MU
558	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	IFC Advisors LLC									2025-02-14	2024-12-31	False		16745.0		1409260	16745.0							1409.26				0.001	0.307218120322317			0.307218120322317		-294.5484					False	13F	02-14	1409000	595112103		0.307218120322317		ifc-advisors-llc-9743	https://fintel.io/i/ifc-advisors-llc-9743	0.001498338104131635				MU
